Codigo_Familia	Familia	Grau
6341	Cachecol Rapariga Polar	4
6342	Cachecol Rapariga Malha	4
6343	Cachecol/Lenço Rapariga Algodão	4
635	CACHECOL UNISEXO	3
6351	Cachecol Unisexo Criança Polar	4
6352	Cachecol Unisexo Adulto Polar	4
6353	Cachecol Unisexo Adulto Malha	4
6354	Cachecol Unisexo Criança Malha	4
6355	Cachecol Unisexo Adulto Tecido/Algodão	4
64	TOALHAS	2
641	TOALHAS HOMEM	3
6411	Toalhas Homem Praia	4
6412	Toalhas Homem Piscina	4
6413	Toalhas Homem Ginásio	4
642	TOALHAS SENHORA	3
6421	Toalhas Senhora Praia	4
6422	Toalhas Senhora Piscina	4
643	TOALHAS JUNIOR	3
6431	Toalhas Praia Junior	4
65	LUVAS	2
651	LUVAS HOMEM	3
6511	Luvas Homem Algodão/Malha	4
6512	Luvas Homem Polar	4
6513	Luvas Homem Neve	4
6514	Luvas Homem Aquecimento/Treino	4
652	LUVAS SENHORA	3
6521	Luvas Senhora Algodão/Malha	4
6522	Luvas Senhora Polar	4
6523	Luvas Senhora Neve	4
653	LUVAS RAPAZ	3
6531	Luvas Rapaz Algodão/Malha	4
6532	Luvas Rapaz Polar	4
654	LUVAS RAPARIGA	3
6541	Luvas Rapariga Algodão/Malha	4
6542	Luvas Rapariga Polar	4
655	LUVAS BEBÉ	3
6551	Luvas Bebé Algodão/Malha	4
6552	Luvas Bebé Polar	4
656	LUVAS UNISEXO	3
6561	Luvas Unisexo Junior Polar	4
6562	Luvas Unisexo Adulto Polar	4
6563	Luvas Unisexo Junior Algodão/Malha	4
6564	Luvas Unisexo Adulto Algodão/Malha	4
66	LINGERIE - ROUPA INTERIOR	2
661	LINGERIE HOMEM	3
6611	Boxer Homem	4
662	LINGERIE SENHORA	3
6621	Cueca Senhora	4
6622	Sotiens Senhora	4
6623	Leggings Senhora	4
6624	Leggings Rapariga	4
663	LINGERIE RAPAZ	3
6631	Boxer Rapaz	4
67	BALLET	2
671	BODY BALLET	3
6711	Body Ballet Criança	4
6712	Body Ballet Adulto	4
672	SAIA BALLET	3
6721	Saia Ballet Criança	4
6722	Saia Ballet Adulto	4
673	COLLANTS BALLET	3
6731	Collants Ballet Criança	4
6732	Collants Ballet Adulto	4
674	SABRINA BALLET	3
6741	Sabrina Ballet	4
675	PERNEIRA BALLET	3
6751	Perneira Ballet	4
676	CASACO BALLET	3
6761	Casaco Ballet Criança	4
6762	Casaco Ballet Adulto	4
7	CLUBES	1
71	S.L.B - BENFICA	2
711	CAMISOLAS BENFICA	3
7111	Camisolas Benfica Adulto	4
7112	Camisolas Benfica Junior	4
712	CALÇÕES BENFICA	3
7121	Calções Benfica Adulto	4
7122	Calções Benfica Junior	4
713	KITS BENFICA	3
7131	Kits Benfica	4
714	SACOS/MOCHILAS BENFICA	3
7141	Sacos Benfica	4
7142	Mochilas Benfica	4
7143	Sapateira Benfica	4
7144	Carteiras Benfica	4
715	BOLAS BENFICA	3
7151	Bolas Benfica	4
716	MEIAS BENFICA	3
7161	Meias Benfica	4
717	TEXTIL BENFICA	3
7171	Fatos de Treino Benfica	4
7172	Sweats Benfica	4
7173	T-s Benfica	4
7174	Polos Benfica	4
718	BONÉS/GORROS/CACHECOL BENFICA	3
7181	Bonés Benfica	4
7182	Gorros Benfica	4
7183	Cachecol Benfica	4
719	RESTANTES ACESSÓRIOS BENFICA	3
7191	Caneleira Benfica	4
7192	Luvas Benfica	4
7193	Lenços Benfica	4
7194	Toalhas Benfica	4
7195	Chaveiros Benfica	4
72	S.C.P. - SPORTING	2
721	CAMISOLAS SPORTING	3
7211	Camisolas Sporting Adulto	4
7212	Camisolas Sporting Junior	4
7213	Camisolas Sporting Senhora	4
7214	Camisolas Sporting Treino Adulto	4
722	CALÇÕES SPORTING	3
7221	Calções Sporting Adulto	4
7222	Calções Sporting Junior	4
723	KITS SPORTING	3
7231	Kits Sporting	4
724	SACOS/MOCHILAS SPORTING	3
7241	Sacos Sporting	4
7242	Mochilas Sporting	4
7243	Sapateiras Sporting	4
7244	Carteiras Sporting	4
7245	Estojos Sporting Escolares	4
7246	Bolsas Toilette Sporting	4
7247	Bolsas Ombro Sporting	4
725	BOLAS SPORTING	3
7251	Bolas Sporting	4
7252	Bolas Mini Sporting	4
726	MEIAS SPORTING	3
7261	Meias Sporting	4
727	TEXTIL SPORTING	3
7271	Fatos de Treino Sporting	4
7272	Sweats Sporting	4
7273	T-s Sporting	4
7274	Polos Sporting	4
7275	Blusões Sporting	4
728	BONÉS/GORROS/CACHECOL SPORTING	3
7281	Bonés Sporting	4
7282	Gorros Sporting	4
7283	Cachecol Sporting	4
729	RESTANTES ACESSÓRIOS SPORTING	3
7291	Caneleiras Sporting	4
7292	Bolsas Telemóvel Sporting	4
73	F.C.P. - PORTO	2
731	CAMISOLAS PORTO	3
7311	Camisolas Porto Adulto	4
7312	Camisolas Porto Junior	4
732	CALÇÕES PORTO	3
7321	Calções Porto	4
733	KITS PORTO	3
7331	Kits Porto	4
734	SACOS/MOCHILAS PORTO	3
7341	Sacos Porto	4
7342	Mochilas Porto	4
735	BOLAS PORTO	3
7351	Bolas Porto	4
7352	Bolas Mini Porto	4
736	MEIAS PORTO	3
7361	Meias Porto	4
737	TEXTIL PORTO	3
738	BONÉS/GORROS/CACHECOL PORTO	3
7381	Bonés Porto	4
7382	Gorro Porto	4
7383	Cachecol Porto	4
739	RESTANTES ACESSÓRIOS PORTO	3
74	PORTUGAL - SELECÇÃO NACIONAL	2
741	CAMISOLAS PORTUGAL	3
7411	Camisolas Portugal Adulto	4
7412	Camisolas Portugal Junior	4
742	CALÇÕES PORTUGAL	3
7421	Calções Portugal	4
743	KITS PORTUGAL	3
7431	Kits Portugal	4
745	BOLAS PORTUGAL	3
7451	Bolas Portugal	4
746	MEIAS PORTUGAL	3
7461	Meias Portugal	4
747	TEXTIL PORTUGAL	3
7471	Fatos de Treino Portugal	4
7472	Sweats Portugal	4
7473	T-s Portugal	4
7474	Polos Portugal	4
7475	Casacos Portugal Poliester/Algodão	4
748	BONÉS/GORROS/CACHECOL PORTUGAL	3
7481	Bonés Portugal	4
7482	Gorros Portugal	4
7483	Cachecol Portugal	4
749	RESTANTES ACESSÓRIOS PORTUGAL	3
7491	Caneleiras Portugal	4
7493	Lenços Portugal	4
7495	Sacos Portugal	4
7499	Bandeiras Portugal	4
75	OUTROS CLUBES e PAISES	2
751	CAMISOLAS	3
7511	Camisolas Outros Clubes/Paises	4
752	CALÇÕES	3
7521	Calções Outros Clubes/Paises	4
758	BONÉS/GORROS/CACHECOL	3
7581	Bonés Outros Clubes/Paises	4
7582	Gorros Outros Clubes/Paises	4
7583	Cachecol Outros Clubes/Paises	4
8	ACESSÓRIOS DIVERSOS	1
81	BOLAS	2
811	BOLAS	3
8111	Bolas Futebol	4
8112	Bolas Futsal	4
8113	Bolas Basquetebol	4
8114	Bolas Volley	4
8115	Bolas Tenis	4
8116	Bolas Ping-Pong	4
8117	Bolas Andebol	4
8118	Bolas Rugby	4
8119	Bolas MINI	4
82	SACOS - MOCHILAS - BOLSAS	2
821	SACOS	3
8211	Sacos Mini - XS	4
8212	Sacos Pequenos - S	4
8213	Sacos Médios - M	4
8214	Sacos Grandes - L	4
8215	Sacos Muito Grandes - XL	4
8216	Sacos Enormes - XXL	4
8217	Sacos Massagista	4
8218	Sacos Finos Gymbags	4
8219	Sacos Camiseiros Hardcase	4
822	MOCHILAS	3
8221	Mochilas Mini - XS	4
8222	Mochilas Pequenas - S	4
8223	Mochilas Médias - M	4
8224	Mochilas Grandes - L (Escolares)	4
8225	Mochilas Diagonais	4
8226	Mochilas linha Montanha - XL	4
823	BOLSAS/MALAS	3
8231	Bolsas/Malas Pequenas de Mão	4
8232	Bolsas/Malas Médias de Mão	4
8233	Bolsas/Malas Pequenas de Ombro	4
8234	Bolsas/Malas Médias de Ombro	4
8235	Bolsas/Malas Grandes de Ombro	4
8236	Bolsas de Cintura	4
8237	Bolsas/Malas Grandes de Mão	4
8239	Malas Computador	4
824	SAPATEIRAS	3
8241	Sapateiras Normais	4
8242	Sapateiras Grandes	4
825	BOLSAS DIVERSAS	3
8251	Bolsas Toilette	4
8252	Estojos Lapis	4
8253	Bolsas Telemóvel	4
8254	Dossiers	4
83	CARTEIRAS - CHAVEIROS - CINTOS	2
831	CARTEIRAS	3
8311	Carteiras Homem	4
8312	Carteiras Senhora	4
8313	Carteiras Unisexo -(packs várias cores)	4
832	CHAVEIROS	3
8321	Chaveiros Borracha	4
8322	Chaveiros Metal	4
8323	Chaveiros Pescoço	4
8324	Chaveiros Madeira	4
8325	Chaveiros Plástico	4
833	PORTA-MOEDAS	3
8331	Porta-Moedas	4
834	CINTOS	3
8341	Cintos Homem	4
8342	Cintos Senhora	4
8343	Cintos Rapaz	4
8344	Cintos Rapariga	4
839	OUTROS ACESSÓRIOS	3
8391	Colares	4
8392	Aneis	4
8393	Pulseiras	4
8394	Cadeados e fechaduras	4
84	RELÓGIOS - OCULOS	2
841	RELOGIO HOMEM	3
8411	Relógio Homem Digital	4
8412	Relógio Homem Ponteiros	4
8413	Relógio Homem Digital+Ponteiros	4
842	RELOGIO SENHORA	3
8421	Relógio Senhora Digital	4
8422	Relógio Senhora Ponteiros	4
8423	Relógio Senhora Digital+Ponteiros	4
843	RELOGIO JUNIOR/UNISEXO	3
8431	Relógio Junior/Unisexo Digital	4
8432	Relógio Junior/Unisexo Ponteiros	4
8433	Relógio Junior/Unisexo Digital+Ponteiros	4
848	OCULOS ESCUROS	3
8481	Oculos Escuros Homem	4
8482	Oculos Escuros Senhora	4
8483	Oculos Escuros Junior	4
85	JUDO - KARATE	2
851	CINTOS JUDO	3
8511	Cintos Judo Homem	4
8512	Cintos Judo Rapaz	4
86	CANELEIRAS - JOELHEIRAS - PULSOS - FITAS	2
861	CANELEIRAS HOMEM	3
8611	Caneleiras Homem Canela	4
8612	Caneleiras Homem Canela e Tornozelo	4
8613	Meias Homem para Caneleiras	4
862	CANELEIRAS RAPAZ	3
8621	Caneleiras Rapaz Canela	4
8622	Caneleiras Rapaz Canela e Tornozelo	4
863	JOELHEIRAS	3
8631	Joelho Elástico	4
8632	Joelheira Neoprene	4
8633	Joelheira Volley	4
8634	Joelheira Futebol	4
864	PÉS	3
8641	Pés  / Tornozelos Elásticos	4
8642	Pés / Tornozelos Neoprene	4
865	PULSOS	3
8651	Pulsos Elásticos	4
8652	Pulsos Aperto	4
8653	Pulsos Neoprene	4
8659	Protecção Dedos	4
866	FITAS	3
8661	Fitas Elásticas	4
8662	Ligaduras	4
867	BRAÇADEIRAS	3
8671	Braçadeiras Refletoras Atletismo	4
8672	Braçadeiras Capitão	4
8673	Braçadeiras Delegado	4
8674	Braçadeiras Treinador	4
8675	Braçadeiras Massagista	4
8676	Braçadeiras Director Campo	4
8677	Braçadeiras Enfermeiro e Médico	4
8678	Braçadeiras Fisioterapeuta	4
868	LUVAS ESPECIFICAS	3
8681	Luvas Guarda Redes Adulto Futebol	4
8682	Luvas Guarda Redes Criança Futebol	4
8683	Luvas Guarda Redes FUTSAL	4
8684	Luvas Fitness/Bike/Gym	4
8685	Luvas Atletismo/Futebol Aquecimento	4
869	OUTRAS PROTECÇÕES	3
8691	Ombros Neoprene Treino	4
8692	Cintas Neoprene Treino	4
8693	Coxas Elásticas/Neoprene Treino	4
8694	Cotoveleiras Treino	4
