Codigo_Familia	Familia	Grau
1751	Sapatos Outdoor/Montanha Homem	4
1752	Sapatos Outdoor/Montanha Senhora	4
1753	Sapatos Outdoor/Montanha Junior	4
176	BOTAS OUTDOOR/MONTANHA	3
1761	Botas Outdoor/Montanha Homem	4
1762	Botas Outdoor/Montanha Senhora	4
1763	Botas Outdoor/Montanha Junior	4
18	SANDÁLIAS - CHINELOS	2
181	SANDALIAS HOMEM	3
1811	Sandálias Homem	4
182	SANDALIAS SENHORA	3
1821	Sandálias Senhora	4
183	SANDALIAS JUNIOR	3
1831	Sandálias Junior	4
184	SANDALIAS BEBÉ	3
1841	Sandálias Bebé	4
185	CHINELOS HOMEM	3
1851	Chinelos Homem Enfiar	4
1852	Chinelos Homem Dedo	4
1853	Chinelos Homem Velcro	4
1854	Sapatos Homem HidroGinástica	4
186	CHINELOS SENHORA	3
1861	Chinelos Senhora Enfiar	4
1862	Chinelos Senhora Dedo	4
1863	Chinelos Senhora Velcro	4
1864	Sapatos Senhora HidroGinástica	4
187	CHINELOS JUNIOR	3
1871	Chinelos Junior Enfiar	4
1872	Chinelos Junior Dedo	4
1873	Chinelos Junior Velcro	4
1874	Sapatos Junior HidroGinástica	4
19	SLIP-ON - LONAS	2
191	SLIP-ON HOMEM	3
1911	Slip-On Homem Lisas	4
1912	Slip-On Homem Estampadas	4
192	SLIP-ON SENHORA	3
1921	Slip-On Senhora Lisas	4
1922	Slip-On Senhora Estampadas	4
193	SLIP-ON JUNIOR	3
1931	Slip-On Junior Lisas	4
1932	Slip-On Junior Estampadas	4
196	LONAS HOMEM	3
1961	Lonas Homem Atacador	4
197	LONAS SENHORA	3
1971	Lonas Senhora Atacador	4
198	LONAS JUNIOR	3
1981	Lonas Junior Atacador	4
1982	Lonas Junior Velcro	4
1983	Lonas Junior Elástico	4
199	LONAS BEBÉ	3
1991	Lonas Bebé Atacador	4
1992	Lonas Bebé Velcro	4
1993	Lonas Bebé Elástico	4
3	TEXTIL	1
31	FATOS DE TREINO	2
311	FT HOMEM	3
3111	FT Homem Algodão	4
3112	FT Homem Acetato	4
3113	FT Homem Pele Pessego	4
3114	FT Homem Micro-Fibra	4
3115	FT Homem Poliester	4
312	FT SENHORA	3
3121	FT Senhora Algodão	4
3122	FT Senhora Acetato	4
3123	FT Senhora Pele Pessego	4
3124	FT Senhora MicroFibra	4
3125	FT Senhora Poliester	4
3126	FT Senhora Algodão-Lycra	4
313	FT RAPAZ	3
3131	FT Rapaz Algodão	4
3132	FT Rapaz Acetato	4
3133	FT Rapaz Pele Pessego	4
3134	FT Rapaz Microfibra	4
3135	FT Rapaz Poliester	4
314	FT RAPARIGA	3
3141	FT Rapariga Algodão	4
3142	FT Rapariga Acetato	4
3143	FT Rapariga Pele Pessego	4
3144	FT Rapariga Microfibra	4
3145	FT Rapariga Poliester	4
3146	FT Rapariga Algodão-Lycra	4
315	FT BEBÉ	3
3151	FT Bebé Algodão	4
3152	FT Bebé Malha Polar	4
3153	FT Bebé Acetato	4
3154	FT Bebé Microfibra	4
32	CALÇÕES - SHORTS	2
321	CALÇÕES/SHORTS BANHO	3
3211	Calções/Shorts Homem Banho Curtos	4
3212	Calções/Shorts Homem Banho Médios	4
3213	Calções/Shorts Homem Banho Compridos	4
3214	Calções/Shorts Senhora Banho Curtos	4
3215	Calções/Shorts Senhora Banho Médios	4
3216	Calções/Shorts Senhora Banho Compridos	4
3217	Calções/Shorts Junior Banho Curtos	4
3218	Calções/Shorts Junior Banho Médios	4
3219	Calções/Shorts Junior  Banho Compridos	4
322	CALÇÕES PASSEIO	3
3221	Calções Homem Passeio Curtos	4
3222	Calções Homem Passeio Médios	4
3223	Calções Homem Passeio Compridos	4
3224	Calções Senhora Passeio Curtos	4
3225	Calções Senhora Passeio Médios	4
3226	Calções Senhora Passeio Compridos	4
3227	Calções Junior Passeio Curtos	4
3228	Calções Junior Passeio Médios	4
3229	Calções Junior Passeio Compridos	4
323	CALÇÕES ATLÉTISMO	3
3231	Calções Atlétismo Homem Senhora Prova	4
3232	Calções Atlétismo Homem Senhora Licra	4
3233	Calções Atletismo Homem Senhora Treino	4
3236	Cueca Atletismo Senhora Prova	4
324	CALÇÕES CICLISMO	3
3241	Calções Ciclismo Homem com Reforço	4
3242	Calções Ciclismo Homem Licra sem Reforço	4
3243	Calções Ciclismo Homem Com Alsas com Reforço	4
3249	Camisolas Ciclismo	4
325	CALÇÕES TREINO/GINÁSTICA	3
3251	Calções Algodão/Licra Treino Senhora	4
3252	Calções Algodão Treino Homem	4
3253	Calções Microfibra/Poliester Treino Homem	4
3254	Calções Algodão Treino Rapariga	4
3255	Calções Algodão Treino Senhora	4
